Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,525682,-,-,-,31.49,-103.38,-6,784,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,Temperature,GHI
2015,1,1,0,30,0,0,-2,0
2015,1,1,1,30,0,0,-2,0
2015,1,1,2,30,0,0,-2,0
2015,1,1,3,30,0,0,-2,0
2015,1,1,4,30,0,0,-2,0
2015,1,1,5,30,0,0,-2,0
2015,1,1,6,30,0,0,-2,0
2015,1,1,7,30,0,0,-2,0
2015,1,1,8,30,2,0,-1,2
2015,1,1,9,30,10,0,0,10
2015,1,1,10,30,50,0,0,50
2015,1,1,11,30,134,0,0,134
2015,1,1,12,30,138,0,1,138
2015,1,1,13,30,153,0,2,153
2015,1,1,14,30,131,0,2,131
2015,1,1,15,30,76,0,2,76
2015,1,1,16,30,101,257,1,170
2015,1,1,17,30,33,107,0,42
2015,1,1,18,30,0,0,0,0
2015,1,1,19,30,0,0,-1,0
2015,1,1,20,30,0,0,-1,0
2015,1,1,21,30,0,0,-1,0
2015,1,1,22,30,0,0,-1,0
2015,1,1,23,30,0,0,-1,0
2015,1,2,0,30,0,0,-1,0
2015,1,2,1,30,0,0,-1,0
2015,1,2,2,30,0,0,-1,0
2015,1,2,3,30,0,0,-1,0
2015,1,2,4,30,0,0,-1,0
2015,1,2,5,30,0,0,-1,0
2015,1,2,6,30,0,0,-1,0
2015,1,2,7,30,0,0,0,0
2015,1,2,8,30,7,0,0,7
2015,1,2,9,30,15,0,0,15
2015,1,2,10,30,37,0,1,37
2015,1,2,11,30,45,0,1,45
2015,1,2,12,30,104,0,2,104
2015,1,2,13,30,47,0,2,47
2015,1,2,14,30,64,0,1,64
2015,1,2,15,30,76,0,1,76
2015,1,2,16,30,97,5,0,98
2015,1,2,17,30,24,0,0,24
2015,1,2,18,30,0,0,0,0
2015,1,2,19,30,0,0,0,0
2015,1,2,20,30,0,0,-1,0
2015,1,2,21,30,0,0,0,0
2015,1,2,22,30,0,0,0,0
2015,1,2,23,30,0,0,0,0
2015,1,3,0,30,0,0,-1,0
2015,1,3,1,30,0,0,-2,0
2015,1,3,2,30,0,0,-3,0
2015,1,3,3,30,0,0,-3,0
2015,1,3,4,30,0,0,-3,0
2015,1,3,5,30,0,0,-3,0
2015,1,3,6,30,0,0,-3,0
2015,1,3,7,30,0,0,-2,0
2015,1,3,8,30,32,444,0,78
2015,1,3,9,30,57,747,2,268
2015,1,3,10,30,69,875,3,442
