Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,525682,-,-,-,31.49,-103.38,-6,784,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,Temperature,GHI
2013,1,1,0,30,0,0,3,0
2013,1,1,1,30,0,0,2,0
2013,1,1,2,30,0,0,1,0
2013,1,1,3,30,0,0,1,0
2013,1,1,4,30,0,0,0,0
2013,1,1,5,30,0,0,0,0
2013,1,1,6,30,0,0,0,0
2013,1,1,7,30,0,0,0,0
2013,1,1,8,30,29,537,1,86
2013,1,1,9,30,99,349,3,197
2013,1,1,10,30,138,508,6,354
2013,1,1,11,30,168,561,9,463
2013,1,1,12,30,77,989,10,647
2013,1,1,13,30,121,768,11,562
2013,1,1,14,30,70,923,11,549
2013,1,1,15,30,57,872,10,419
2013,1,1,16,30,97,304,9,179
2013,1,1,17,30,32,172,7,47
2013,1,1,18,30,0,0,5,0
2013,1,1,19,30,0,0,3,0
2013,1,1,20,30,0,0,3,0
2013,1,1,21,30,0,0,2,0
2013,1,1,22,30,0,0,1,0
2013,1,1,23,30,0,0,0,0
2013,1,2,0,30,0,0,0,0
2013,1,2,1,30,0,0,0,0
2013,1,2,2,30,0,0,0,0
2013,1,2,3,30,0,0,0,0
2013,1,2,4,30,0,0,-1,0
2013,1,2,5,30,0,0,-1,0
2013,1,2,6,30,0,0,-1,0
2013,1,2,7,30,0,0,-1,0
2013,1,2,8,30,32,467,0,81
2013,1,2,9,30,78,514,2,223
2013,1,2,10,30,137,513,5,356
2013,1,2,11,30,76,944,8,573
2013,1,2,12,30,81,965,9,638
2013,1,2,13,30,80,967,10,636
2013,1,2,14,30,76,942,11,567
2013,1,2,15,30,68,884,10,436
2013,1,2,16,30,55,759,8,260
2013,1,2,17,30,28,441,6,69
2013,1,2,18,30,0,0,4,0
2013,1,2,19,30,0,0,3,0
2013,1,2,20,30,0,0,2,0
2013,1,2,21,30,0,0,1,0
2013,1,2,22,30,0,0,0,0
2013,1,2,23,30,0,0,0,0
2013,1,3,0,30,0,0,0,0
2013,1,3,1,30,0,0,0,0
2013,1,3,2,30,0,0,-1,0
2013,1,3,3,30,0,0,-1,0
2013,1,3,4,30,0,0,-1,0
2013,1,3,5,30,0,0,-1,0
2013,1,3,6,30,0,0,-1,0
2013,1,3,7,30,0,0,0,0
2013,1,3,8,30,4,0,0,4
2013,1,3,9,30,33,0,1,33
2013,1,3,10,30,34,0,3,34
2013,1,3,11,30,235,50,4,261
2013,1,3,12,30,258,60,5,292
2013,1,3,13,30,269,90,5,321
2013,1,3,14,30,219,42,4,241
2013,1,3,15,30,102,0,4,102
2013,1,3,16,30,111,114,3,142
2013,1,3,17,30,36,101,2,46
2013,1,3,18,30,0,0,0,0
2013,1,3,19,30,0,0,0,0
2013,1,3,20,30,0,0,0,0
2013,1,3,21,30,0,0,0,0
2013,1,3,22,30,0,0,0,0
2013,1,3,23,30,0,0,0,0
2013,1,4,0,30,0,0,0,0
2013,1,4,1,30,0,0,0,0
2013,1,4,2,30,0,0,-1,0
2013,1,4,3,30,0,0,-1,0
2013,1,4,4,30,0,0,-1,0
2013,1,4,5,30,0,0,-2,0
2013,1,4,6,30,0,0,-2,0
2013,1,4,7,30,0,0,-1,0
2013,1,4,8,30,12,0,0,12
2013,1,4,9,30,42,0,0,42
2013,1,4,10,30,79,0,1,79
2013,1,4,11,30,225,48,2,251
2013,1,4,12,30,256,56,3,289
2013,1,4,13,30,277,149,4,364
2013,1,4,14,30,222,44,4,245
2013,1,4,15,30,182,78,4,215
2013,1,4,16,30,99,321,3,187
2013,1,4,17,30,35,368,2,71
2013,1,4,18,30,0,0,0,0
2013,1,4,19,30,0,0,0,0
2013,1,4,20,30,0,0,0,0
2013,1,4,21,30,0,0,-1,0
2013,1,4,22,30,0,0,-1,0
2013,1,4,23,30,0,0,-2,0
2013,1,5,0,30,0,0,-2,0
2013,1,5,1,30,0,0,-2,0
2013,1,5,2,30,0,0,-2,0
2013,1,5,3,30,0,0,-3,0
2013,1,5,4,30,0,0,-3,0
2013,1,5,5,30,0,0,-3,0
2013,1,5,6,30,0,0,-3,0
2013,1,5,7,30,0,0,-2,0
2013,1,5,8,30,30,506,-1,83
2013,1,5,9,30,54,796,2,279
2013,1,5,10,30,66,912,5,455
2013,1,5,11,30,73,968,8,585
2013,1,5,12,30,79,983,10,650
2013,1,5,13,30,79,983,11,650
2013,1,5,14,30,76,959,12,581
2013,1,5,15,30,67,906,12,451
2013,1,5,16,30,54,790,10,274
2013,1,5,17,30,29,494,7,78
2013,1,5,18,30,0,0,5,0
2013,1,5,19,30,0,0,4,0
2013,1,5,20,30,0,0,3,0
2013,1,5,21,30,0,0,1,0
2013,1,5,22,30,0,0,0,0
2013,1,5,23,30,0,0,0,0
2013,1,6,0,30,0,0,0,0
2013,1,6,1,30,0,0,-1,0
2013,1,6,2,30,0,0,-1,0
2013,1,6,3,30,0,0,-2,0
2013,1,6,4,30,0,0,-3,0
2013,1,6,5,30,0,0,-3,0
2013,1,6,6,30,0,0,-4,0
2013,1,6,7,30,0,0,-3,0
2013,1,6,8,30,29,517,-1,83
2013,1,6,9,30,54,803,1,280
2013,1,6,10,30,66,917,3,458
2013,1,6,11,30,73,972,6,588
2013,1,6,12,30,80,985,8,655
2013,1,6,13,30,80,987,9,655
2013,1,6,14,30,76,965,10,586
2013,1,6,15,30,66,917,10,457
2013,1,6,16,30,54,803,8,279
2013,1,6,17,30,30,510,4,82
2013,1,6,18,30,0,0,2,0
2013,1,6,19,30,0,0,1,0
2013,1,6,20,30,0,0,1,0
2013,1,6,21,30,0,0,1,0
2013,1,6,22,30,0,0,1,0
2013,1,6,23,30,0,0,1,0
2013,1,7,0,30,0,0,0,0
2013,1,7,1,30,0,0,0,0
2013,1,7,2,30,0,0,0,0
2013,1,7,3,30,0,0,0,0
2013,1,7,4,30,0,0,0,0
2013,1,7,5,30,0,0,0,0
2013,1,7,6,30,0,0,0,0
2013,1,7,7,30,0,0,0,0
2013,1,7,8,30,37,72,0,44
2013,1,7,9,30,68,588,2,234
2013,1,7,10,30,143,494,5,354
2013,1,7,11,30,140,662,8,492
2013,1,7,12,30,276,241,11,417
2013,1,7,13,30,261,334,12,456
2013,1,7,14,30,88,895,13,564
2013,1,7,15,30,189,206,13,277
2013,1,7,16,30,64,710,11,265
2013,1,7,17,30,36,305,7,68
2013,1,7,18,30,0,0,5,0
2013,1,7,19,30,0,0,4,0
2013,1,7,20,30,0,0,3,0
2013,1,7,21,30,0,0,2,0
2013,1,7,22,30,0,0,1,0
2013,1,7,23,30,0,0,0,0
2013,1,8,0,30,0,0,0,0
2013,1,8,1,30,0,0,0,0
2013,1,8,2,30,0,0,0,0
2013,1,8,3,30,0,0,0,0
2013,1,8,4,30,0,0,0,0
2013,1,8,5,30,0,0,-1,0
2013,1,8,6,30,0,0,-1,0
2013,1,8,7,30,0,0,0,0
2013,1,8,8,30,9,0,1,9
2013,1,8,9,30,33,0,3,33
2013,1,8,10,30,112,0,6,112
2013,1,8,11,30,183,9,8,188
2013,1,8,12,30,213,16,10,222
2013,1,8,13,30,245,37,11,267
2013,1,8,14,30,206,22,11,218
2013,1,8,15,30,106,734,12,422
2013,1,8,16,30,117,96,11,145
2013,1,8,17,30,40,297,8,72
2013,1,8,18,30,0,0,6,0
2013,1,8,19,30,0,0,5,0
2013,1,8,20,30,0,0,4,0
2013,1,8,21,30,0,0,4,0
2013,1,8,22,30,0,0,3,0
2013,1,8,23,30,0,0,3,0
2013,1,9,0,30,0,0,4,0
2013,1,9,1,30,0,0,4,0
2013,1,9,2,30,0,0,5,0
2013,1,9,3,30,0,0,4,0
2013,1,9,4,30,0,0,4,0
2013,1,9,5,30,0,0,4,0
