Year,Month,Temp mean,GHI mean,PV kWh/month,lat,lon
1998,1,16.251344086021504,120.07795698924731,35.39218713333334,33.2164,-118.2437
1998,2,15.319940476190476,144.77678571428572,38.33511064,33.2164,-118.2437
1998,3,15.293010752688172,204.80376344086022,59.38719802666667,33.2164,-118.2437
1998,4,15.2125,262.5125,72.70551695333333,33.2164,-118.2437
1998,5,16.217741935483872,295.4717741935484,83.97336870000001,33.2164,-118.2437
1998,6,17.41111111111111,282.87083333333334,77.40427447333334,33.2164,-118.2437
1998,7,19.626344086021504,258.2997311827957,72.57264839333334,33.2164,-118.2437
1998,8,21.599462365591396,259.48521505376345,72.04860631333334,33.2164,-118.2437
1998,9,20.381944444444443,208.90972222222223,57.03587814,33.2164,-118.2437
1998,10,18.989247311827956,195.63709677419354,55.78379334666667,33.2164,-118.2437
1998,11,16.772222222222222,148.39305555555555,41.878492660000006,33.2164,-118.2437
1998,12,14.720430107526882,123.79166666666667,36.66376524666667,33.2164,-118.2437
1999,1,14.823924731182796,129.59139784946237,38.32154590666667,33.2164,-118.2437
1999,2,14.132440476190476,164.38244047619048,43.56782908666667,33.2164,-118.2437
1999,3,13.375,207.36559139784947,60.538194813333334,33.2164,-118.2437
1999,4,13.804166666666667,238.84305555555557,66.76611560666667,33.2164,-118.2437
1999,5,14.948924731182796,265.55779569892474,76.17290604666667,33.2164,-118.2437
1999,6,16.397222222222222,245.2902777777778,68.02630982000001,33.2164,-118.2437
1999,7,18.879032258064516,283.5483870967742,79.55892389333334,33.2164,-118.2437
1999,8,19.125,261.59005376344084,73.47041138,33.2164,-118.2437
1999,9,18.216666666666665,187.4,51.81866770666667,33.2164,-118.2437
1999,10,19.502688172043012,203.09408602150538,57.54915773333333,33.2164,-118.2437
1999,11,16.958333333333332,141.60972222222222,40.03406534,33.2164,-118.2437
1999,12,15.646505376344086,136.21639784946237,40.08119091333333,33.2164,-118.2437
2000,1,15.220430107526882,115.3736559139785,34.19404513333333,33.2164,-118.2437
2000,2,14.94047619047619,138.20238095238096,36.82542978666667,33.2164,-118.2437
2000,3,14.709677419354838,216.9005376344086,62.815395360000004,33.2164,-118.2437
2000,4,15.944444444444445,255.86527777777778,70.56237360666667,33.2164,-118.2437
2000,5,16.591397849462364,258.31854838709677,73.62139574,33.2164,-118.2437
2000,6,18.418055555555554,290.3041666666667,78.89414856666667,33.2164,-118.2437
2000,7,19.206989247311828,282.93951612903226,79.29953574000001,33.2164,-118.2437
2000,8,20.481182795698924,268.15860215053766,74.80555598666666,33.2164,-118.2437
2000,9,20.32638888888889,233.8138888888889,63.401334320000004,33.2164,-118.2437
2000,10,18.256720430107528,156.39112903225808,45.156964980000005,33.2164,-118.2437
2000,11,16.073611111111113,151.1888888888889,42.79930234666667,33.2164,-118.2437
2000,12,16.001344086021504,116.94086021505376,34.54487485333334,33.2164,-118.2437
