Year,Month,Temp mean,GHI mean,PV kWh/month,lat,lon
2005,10,22.291666666666668,227.76209677419354,61.86069696666667,20.0000,-104.0000
2005,11,20.505555555555556,225.7125,59.711254260000004,20.0000,-104.0000
2005,12,19.487903225806452,195.78360215053763,54.067675526666676,20.0000,-104.0000
2006,1,19.598118279569892,211.8534946236559,58.05342895333334,20.0000,-104.0000
2006,2,21.276785714285715,256.6830357142857,62.046689086666674,20.0000,-104.0000
2006,3,22.676075268817204,297.6801075268817,78.35503732000001,20.0000,-104.0000
2006,4,25.647222222222222,321.89166666666665,80.25963238666668,20.0000,-104.0000
2006,5,26.38037634408602,315.4059139784946,81.63572176,20.0000,-104.0000
2006,6,24.9125,254.9763888888889,65.90663579333332,20.0000,-104.0000
2006,7,23.275537634408604,230.2016129032258,62.81490612,20.0000,-104.0000
2006,8,22.491935483870968,214.2258064516129,58.92985689333334,20.0000,-104.0000
2006,9,22.509722222222223,201.23472222222222,53.80510856666667,20.0000,-104.0000
2006,10,22.125,220.65725806451613,60.41470300666667,20.0000,-104.0000
2006,11,20.018055555555556,216.00833333333333,57.72613296,20.0000,-104.0000
2006,12,17.88978494623656,204.372311827957,56.991057700000006,20.0000,-104.0000
2007,1,18.629032258064516,173.7271505376344,48.52007500666667,20.0000,-104.0000
2007,2,19.34970238095238,252.96428571428572,61.96143474666667,20.0000,-104.0000
2007,3,22.147849462365592,288.0712365591398,76.42534292666667,20.0000,-104.0000
2007,4,23.493055555555557,310.7416666666667,78.91845472,20.0000,-104.0000
2007,5,26.288978494623656,314.31854838709677,81.33754598000002,20.0000,-104.0000
2007,6,24.7625,251.86388888888888,64.87991668000001,20.0000,-104.0000
2007,7,22.940860215053764,228.93682795698925,62.54724636666667,20.0000,-104.0000
2007,8,22.879032258064516,224.2970430107527,61.473808446666666,20.0000,-104.0000
2007,9,22.406944444444445,218.1611111111111,57.96623796,20.0000,-104.0000
2007,10,21.530913978494624,227.65994623655914,62.115356113333334,20.0000,-104.0000
2007,11,20.294444444444444,221.8347222222222,58.91309879333333,20.0000,-104.0000
2007,12,19.91532258064516,199.0268817204301,55.01695926666667,20.0000,-104.0000
2008,1,18.559139784946236,210.75,58.19547084,20.0000,-104.0000
2008,2,20.334821428571427,264.34375,64.12050948666668,20.0000,-104.0000
2008,3,21.044354838709676,307.7983870967742,81.48467472,20.0000,-104.0000
